gold_code,101,105,106,107,201,202,203,304,401,402,408,409,410,503,504,505,506,601,607,701,704
104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
403,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,2,0
408,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
410,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
503,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1
504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
601,1,0,0,3,1,0,0,0,0,1,1,0,0,2,0,0,0,4,0,1,0
607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
701,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
