gold_code,000,101,105,106,107,201,202,407,408,409,410,501,503,504,506,601,606,607,701,704
104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
403,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,1
408,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1
410,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
501,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
503,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1
504,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
601,0,0,0,0,1,3,1,0,1,0,0,0,2,0,0,3,3,0,0,0
607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
701,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
704,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
