model,condition,n,compliance,accuracy,accuracy|compliant,domain_accuracy,weighted_f1,n_errors,E1_cross_domain,E2_valence_flip,E5_catch_all,residual
llama-3.1-8b-instant,FULL,50,1.0,0.18,0.18,0.36,0.20755555555555558,41,0.7804878048780488,0.0,0.0975609756097561,0.14634146341463414
llama-3.1-8b-instant,HIER1,50,1.0,0.14,0.14,0.34,0.159,43,0.7674418604651163,0.0,0.0,0.23255813953488372
llama-3.1-8b-instant,HIER2,50,1.0,0.24,0.24,0.52,0.2591452991452991,38,0.631578947368421,0.0,0.10526315789473684,0.3157894736842105
llama-3.1-8b-instant,LABELS,50,1.0,0.24,0.24,0.42,0.2674820384294068,38,0.7631578947368421,0.02631578947368421,0.10526315789473684,0.15789473684210525
llama-3.3-70b-versatile,FULL,50,1.0,0.26,0.26,0.44,0.2818188608776845,37,0.7567567567567568,0.0,0.24324324324324326,0.16216216216216217
llama-3.3-70b-versatile,HIER1,50,1.0,0.24,0.24,0.44,0.272,38,0.7368421052631579,0.0,0.10526315789473684,0.21052631578947367
llama-3.3-70b-versatile,HIER2,50,1.0,0.3,0.3,0.54,0.31277777777777777,35,0.6571428571428571,0.0,0.17142857142857143,0.2857142857142857
llama-3.3-70b-versatile,LABELS,50,1.0,0.26,0.26,0.42,0.2708235294117647,37,0.7837837837837838,0.02702702702702703,0.40540540540540543,0.08108108108108109
openai/gpt-oss-120b,FULL,50,0.96,0.28,0.2916666666666667,0.46,0.3334920634920634,34,0.7352941176470589,0.0,0.29411764705882354,0.14705882352941177
openai/gpt-oss-120b,HIER1,50,0.96,0.34,0.3541666666666667,0.56,0.3721269841269841,31,0.6451612903225806,0.0,0.16129032258064516,0.22580645161290322
openai/gpt-oss-120b,HIER2,50,1.0,0.32,0.32,0.54,0.3220350877192983,34,0.6764705882352942,0.0,0.3235294117647059,0.17647058823529413
openai/gpt-oss-120b,LABELS,50,0.98,0.34,0.3469387755102041,0.48,0.3480956937799043,32,0.78125,0.0,0.0625,0.1875
openai/gpt-oss-20b,FULL,50,0.7,0.22,0.3142857142857143,0.32,0.253968253968254,24,0.7916666666666666,0.0,0.2916666666666667,0.16666666666666666
openai/gpt-oss-20b,HIER1,50,0.76,0.2,0.2631578947368421,0.34,0.2492857142857143,28,0.75,0.0,0.10714285714285714,0.21428571428571427
openai/gpt-oss-20b,HIER2,50,0.82,0.26,0.3170731707317073,0.42,0.2918095238095238,28,0.7142857142857143,0.0,0.32142857142857145,0.17857142857142858
openai/gpt-oss-20b,LABELS,50,0.82,0.24,0.2926829268292683,0.34,0.2540350877192983,29,0.8275862068965517,0.0,0.0,0.1724137931034483
qwen/qwen3-32b,FULL,50,1.0,0.34,0.34,0.48,0.3624132730015083,33,0.7878787878787878,0.0,0.2727272727272727,0.15151515151515152
qwen/qwen3-32b,HIER1,50,1.0,0.36,0.36,0.58,0.39344444444444443,32,0.65625,0.0,0.0625,0.3125
qwen/qwen3-32b,HIER2,50,0.98,0.3,0.30612244897959184,0.46,0.3553314659197012,34,0.7647058823529411,0.0,0.08823529411764706,0.17647058823529413
qwen/qwen3-32b,LABELS,50,1.0,0.3,0.3,0.5,0.29399999999999993,35,0.7142857142857143,0.02857142857142857,0.22857142857142856,0.17142857142857143
